;Mã tin;Hướng;Phòng ăn;Loại tin;Đường trước nhà;Nhà bếp;Loại BDS;Pháp lý;Sân thượng;Chiều ngang;Số lầu;Chổ để xe hơi;Chiều dài;Số phòng ngủ;Chính chủ;Giá;Diện tích;Địa chỉ;Thuộc dự án;Unnamed: 0
0;13279679;Đông Nam;---;Cần bán;16m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;5m;---;---;24m;---;---; 1,335 tỷ ; 123 m2; Đường Nguyễn Văn Khạ, Xã Trung Lập Hạ, Huyện Củ Chi, Hồ Chí Minh;;
1;13562276;_;---;Cần bán;30m;---;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;---;6;---;---;6;---; 10,5 tỷ ; 60 m2; Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội;;
2;13562258;_;---;Cần bán;10m;---;Đất nền, liền kề, đất dự án;Sổ hồng/ Sổ đỏ;---;5m;---;---;---;---;---; 1,7 tỷ ; 100 m2; Đường Nguyễn Văn Cừ, Phường Hương Mạc, Thành phố Từ Sơn, Bắc Ninh;Khu dân cư Bảo Long New City(xem chi tiết dự án);
3;13441559;_;---;Cần bán;1,6m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;8m;1;---;---;2;---; 1,95 tỷ ; 41 m2; Đường Nguyễn Thái Học, Phường Ngô Mây, Thành phố Quy Nhơn, Bình Định;;
4;13132162;Tây Nam;---;Cần bán;30m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;6m;1;;40m;1;---; 5,3 tỷ ; 245 m2; 86 Quốc lộ 1A, Xã Bình Minh, Huyện Trảng Bom, Đồng Nai;;
5;13561038;_;;Cần bán;15m;;Nhà mặt tiền;Giấy tờ hợp lệ;;5m;3;;18m;4;---; 9,1 tỷ ; 91 m2; Đường Nguyễn Thị Định, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng;;
6;13561543;_;;Cần bán;30m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;6m;5;;30m;5;---; 46 tỷ ; 180 m2; Đường Lê Văn Việt, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Hồ Chí Minh;;
7;13561498;_;---;Cần bán;10m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;4m;3;---;21m;4;---; 11 tỷ ; 82 m2; Đường Đinh Tiên Hoàng, Phường 3, Quận Bình Thạnh, Hồ Chí Minh;;
8;13238443;Đông;---;Cần bán;2m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;7m;---;---;10,9m;---;---; 830 triệu ; 76 m2; Đường ĐT 826, Xã Long Trạch, Huyện Cần Đước, Long An;;
9;12959859;_;---;Cần bán;5m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;7m;---;---;22m;---;---; 800 triệu ; 140 m2; Đường Phạm Thị Giây, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh;;
10;13474887;_;---;Cần bán;---;---;Nhà mặt tiền;---;---;---;---;---;---;---;---; 3,2 tỷ ; 87 m2; Đường Bà Triệu, Phường 3, Thành phố Cao Lãnh, Đồng Tháp;;
11;13315256;_;---;Cần bán;---;---;Nhà trong hẻm;---;---;---;---;---;---;---;---; 4,5 tỷ ; 204 m2; Đường Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè, Hồ Chí Minh;;
12;13435412;_;---;Cần bán;---;---;Đất thổ cư, đất ở;---;---;---;---;---;---;---;---; 2,25 tỷ ; 72 m2; Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng;;
13;13554494;_;---;Cần bán;---;---;Căn hộ chung cư;---;---;---;---;---;---;---;---; 2,1 tỷ ; 57 m2; Đường Nguyễn Bỉnh Khiêm, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương;Căn hộ chung cư HT Pearl(xem chi tiết dự án);
14;13561074;_;---;Cần bán;12m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;5m;4;---;20m;16;---; 11,4 tỷ ; 306 m2; Đường Phan Huy Ích, Phường 14, Quận Gò Vấp, Hồ Chí Minh;;
15;13089037;_;---;Cần bán;6m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;5m;---;---;20m;---;---; 2,55 tỷ ; 100 m2; Đường Thân Nhân Trung, Phường Hố Nai, Thành phố Biên Hoà, Đồng Nai;;
16;13560982;_;---;Cần bán;32m;---;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;4m;5;---;37m;6;---; 25 tỷ ; 150 m2; Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Hồ Chí Minh;;
17;13499390;_;---;Cần bán;---;---;Căn hộ chung cư;Giấy phép XD;---;---;8;---;---;2;---; 600 triệu ; 40 m2; Quốc lộ 1A, Thị trấn Nếnh, Huyện Việt Yên, Bắc Giang;Căn hộ chung cư Evergreen Bắc Giang(xem chi tiết dự án);
18;13560672;_;---;Cần bán;2m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;3,1m;4;---;10m;4;---; 3,15 tỷ ; 31 m2; Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội;;
19;13560649;Đông Nam;---;Cần bán;13m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;10m;---;---;21m;---;---; 12,5 triệu / m2  ; 209 m2; Quốc lộ 49, Xã Bình Thành, Thị xã Hương Trà, Huế;;
20;13533775;_;;Cần bán;5m;;Nhà trong hẻm;---;;5,5m;2;;18m;3;---; 5,6 tỷ ; 98 m2; Đường Đông Hưng Thuận 2, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh;;
21;13560522;Tây;---;Cần bán;8m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;4m;4;---;19m;4;---; 6,88 tỷ ; 76 m2; Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh;;
22;13560375;_;---;Cần bán;4m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;4,5m;5;---;12m;9;---; 6 tỷ ; 55 m2; Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh;;
23;13544779;Tây Nam;;Cần bán;7m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;4m;4;;23m;14;---; 10,4 tỷ ; 91 m2; Đường Nguyễn Thị Nhỏ, Phường 9, Quận Tân Bình, Hồ Chí Minh;;
24;13560266;Tây;---;Cần bán;2m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;3,7m;---;---;---;2;---; 2,1 tỷ ; 60 m2; Đường Cách Mạng Tháng 8, Phường Hòa Bình, Thành phố Biên Hoà, Đồng Nai;;
25;13546022;_;;Cần bán;5m;;Nhà trong hẻm;---;;5m;2;---;10m;3;---; 5,3 tỷ ; 52 m2; Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Hồ Chí Minh;;
26;13554962;_;;Cần bán;8m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;4,6m;3;;10m;3;---; 6,1 tỷ ; 46 m2; Đường D2, Phường 25, Quận Bình Thạnh, Hồ Chí Minh;;
27;12337083;_;---;Cần bán;20m;---;Đất nông, lâm nghiệp;Sổ hồng/ Sổ đỏ;---;---;---;---;---;---;---; 10,75 tỷ ; 43.000 m2; Đường Quốc lộ 53, Xã Long Sơn, Huyện Cầu Ngang, Trà Vinh;;
28;13559990;_;;Cần bán;30m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;---;1;;---;4;---; 22 tỷ ; 220 m2; Đường Đỗ Xuân Hợp, Phường Phước Long B, Thành phố Thủ Đức, Hồ Chí Minh;;
29;13559937;_;;Cần bán;5m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;4m;1;;14,5m;2;---; 2,1 tỷ ; 59 m2; Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh;;
30;13559636;_;;Cần bán;2,5m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;4m;4;;12m;4;---; 6,9 tỷ ; 48 m2; Phố Tương Mai, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội;;
31;13501742;Tây;---;Cần bán;16m;---;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;4m;1;---;28m;2;---; 10,3 tỷ ; 70 m2; Đường Phan Anh, Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh;;
32;13415100;_;---;Cần bán;6m;---;Đất nông, lâm nghiệp;---;---;40m;---;---;100m;---;---; 3,6 tỷ ; 4.000 m2; Đường Buôn Krông A, Xã Ea Tu, Thành phố Buôn Ma Thuột, Đắk Lắk;;
33;13536395;_;---;Cần bán;---;---;Căn hộ chung cư;Sổ hồng/ Sổ đỏ;---;---;11;---;---;3;---; 3,9 tỷ ; 89 m2; Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội;Căn hộ chung cư Booyoung Vina(xem chi tiết dự án);
34;10632960;Tây Bắc;;Cần bán;5m;;Nhà trong hẻm;---;;5m;2;;12,9m;3;---; 4,85 tỷ ; 65 m2; Đường Phạm Hồng Thái, Phường 7, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;;
35;13558549;_;;Cần bán;7m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;4m;4;;12m;5;---; 6,3 tỷ ; 48 m2; Đường Dương Văn Dương, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh;;
36;13471671;_;---;Cần bán;8m;---;Đất nông, lâm nghiệp;Sổ hồng/ Sổ đỏ;---;90m;---;---;90m;---;---; 620 triệu ; 8.271 m2; Tỉnh lộ 716B, Xã Hoà Thắng, Huyện Bắc Bình, Bình Thuận;;
37;13411356;Tây Bắc;---;Cần bán;20m;---;Đất nền, liền kề, đất dự án;Sổ hồng/ Sổ đỏ;---;7m;---;---;20m;---;---; 7,1 tỷ ; 140 m2; Đường Mậu Thân, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận;Khu dân cư Ocean Dunes(xem chi tiết dự án);
38;13557665;_;---;Cần bán;10m;---;Đất nền, liền kề, đất dự án;Sổ hồng/ Sổ đỏ;---;5m;---;---;---;---;---; 1,9 tỷ ; 100 m2; Phường Hương Mạc, Thành phố Từ Sơn, Bắc Ninh;;
39;13557492;_;;Cần bán;10m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;6m;8;;18m;8;---; 43,8 tỷ ; 112 m2; Đường Nguyễn Hoàng, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội;;
40;13341831;Nam;---;Cần bán;16m;---;Phòng trọ, nhà trọ;Sổ hồng/ Sổ đỏ;---;5m;---;---;30m;---;---; 1,7 tỷ ; 150 m2; Đại Lộ Bình Dương, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương;;
41;13556817;_;---;Cần bán;10m;---;Đất thổ cư, đất ở;---;---;---;---;---;---;---;---; 15,5 tỷ ; 150 m2; Đường Doãn Khuê, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng;;
42;13359607;_;;Cần bán;3m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;3m;1;---;15m;1;---; 1,95 tỷ ; 45 m2; Đường Lê Đức Thọ, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội;;
43;13495141;_;---;Cần bán;8m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;15m;---;---;53m;---;---; 575 triệu ; 1.000 m2; Đường Tỉnh lộ 8, Xã Cư Suê, Huyện Cư Mgar, Đắk Lắk;;
44;13484511;_;---;Cần bán;7m;---;Đất nền, liền kề, đất dự án;Sổ hồng/ Sổ đỏ;---;---;---;---;---;---;---; 3 tỷ ; 50 m2; Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh;;
45;13556413;_;;Cần bán;30m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;5m;3;;15m;4;---; 23 tỷ ; 64 m2; Đường Nguyễn Thị Minh Khai, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh;;
46;13364649;_;---;Cần bán;15m;---;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;---;2;---;---;6;---; 36 tỷ ; 154 m2; Phố Hàng Thiếc, Phường Hàng Bồ, Quận Hoàn Kiếm, Hà Nội;;
47;13556248;_;;Cần bán;5m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;5m;3;;12m;3;---; 2,2 tỷ ; 60 m2; Đường Huỳnh Khương An, Phường 13, Quận Gò Vấp, Hồ Chí Minh;;
48;13556226;_;;Cần bán;6m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;5m;3;;12m;3;---; 2,213 tỷ ; 60 m2; Đường Đoàn Thị Điểm, Phường 12, Quận Phú Nhuận, Hồ Chí Minh;;
49;13555782;Tây Bắc;;Cần bán;3,5m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;3,3m;1;---;8m;2;---; 3,4 tỷ ; 25 m2; Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Hồ Chí Minh;;
50;11170972;_;---;Cần bán;8m;---;Đất nông, lâm nghiệp;Sổ hồng/ Sổ đỏ;---;42m;---;---;50m;---;---; 2,8 tỷ ; 2.150 m2; Xã Ea Kao, Thành phố Buôn Ma Thuột, Đắk Lắk;;
51;13528257;Tây Bắc;---;Cần bán;14m;---;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;7m;---;---;30m;1;---; 8,7 tỷ ; 205 m2; Đường Cửa Đại, Phường Cẩm Châu, Thành phố Hội An, Quảng Nam;;
52;13000203;Bắc;---;Cần bán;5m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;5m;---;---;20m;---;---; 190 triệu ; 100 m2; Xã Hợp Lý, Huyện Triệu Sơn, Thanh Hóa;;
53;13401716;_;---;Cần bán;7m;---;Đất nông, lâm nghiệp;Sổ hồng/ Sổ đỏ;---;34,2m;---;---;64m;---;---; 23,87 tỷ ; 2.387 m2; Tỉnh Lộ 923, Thị Trấn Phong Điền, Huyện Phong Điền, Cần Thơ;;
54;13553803;_;---;Cần bán;12m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;30m;---;---;---;---;---; 6 tỷ ; 3.140 m2; Đường Tỉnh Lộ 2, Xã Diên Thọ, Huyện Diên Khánh, Khánh Hòa;;
55;13489226;_;;Cần bán;10m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;4m;3;;11,5m;3;---; 6,5 tỷ ; 46 m2; Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh;;
56;13470798;_;---;Cần bán;8m;---;Nhà trong hẻm;---;---;4,1m;3;---;15m;4;---; 9 tỷ ; 59 m2; Đường Ba Tháng Hai, Phường 6, Quận 11, Hồ Chí Minh;;
57;13552747;Đông Nam;;Cần bán;40m;;Căn hộ chung cư;---;;---;15;;---;3;---; 3,2 tỷ ; 90 m2; Đường Quốc lộ 5, Phường Thượng Thanh, Quận Long Biên, Hà Nội;Khu đô thị mới Khai Sơn City(xem chi tiết dự án);
58;12031062;Bắc;---;Cần bán;15m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;4,5m;---;---;17m;---;---; 2,2 tỷ ; 82 m2; 04 Đường Huỳnh Văn Thống, Phường Nhơn Bình, Thành phố Quy Nhơn, Bình Định;;
59;13183566;Bắc;---;Cần bán;15m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;5,5m;3;---;22m;4;---; 19,5 tỷ ; 120 m2; Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội;Khu đô thị mới Gamuda Gardens(xem chi tiết dự án);
60;13533607;_;;Cần bán;10m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;6m;9;;10m;6;---; 17 tỷ ; 60 m2; Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội;;
61;13078800;_;---;Cần bán;12m;---;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;10m;---;---;13m;---;---; 5,6 tỷ ; 130 m2; Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh;;
62;12928947;_;;Cần bán;8m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;7m;5;;10m;5;---; 11,5 tỷ ; 79 m2; Phố Hào Nam, Phường Cát Linh, Quận Đống Đa, Hà Nội;;
63;13501754;_;;Cần bán;3m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;4m;8;;11m;6;---; 7,35 tỷ ; 55 m2; Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội;;
64;12093117;_;;Cần bán;4m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;4,8m;5;;11m;5;---; 5 tỷ ; 54 m2; Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội;;
65;13547363;_;;Cần bán;4m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;3,65m;2;---;10m;4;---; 6,7 tỷ ; 37 m2; Đường Nơ Trang Long, Phường 7, Quận Bình Thạnh, Hồ Chí Minh;;
66;13547195;Tây Bắc;;Cần bán;2,5m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;3,95m;3;---;13,82m;3;---; 2,48 tỷ ; 54 m2; Đường Phương Lưu, Phường Đông Hải 1, Quận Hải An, Hải Phòng;;
67;13444467;_;---;Cần bán;16m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;5m;---;---;30m;---;---; 2,45 tỷ ; 150 m2; Xã Canh Vinh, Huyện Vân Canh, Bình Định;;
68;13469753;_;---;Cần bán;5m;---;Nhà trong hẻm;---;---;7m;2;---;19m;4;---; 10,5 tỷ ; 130 m2; Đường Lê Lai, Phường 12, Quận Tân Bình, Hồ Chí Minh;;
69;13543286;_;;Cần bán;14m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;10m;3;;20m;6;---; 19,499 tỷ ; 200 m2; Đường Lê Trọng Tấn, Phường Phú La, Quận Hà Đông, Hà Nội;Khu đô thị mới Văn Phú(xem chi tiết dự án);
70;13483712;Tây Nam;;Cần bán;12m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;4m;4;;18m;4;---; 6,5 tỷ ; 72 m2; Đường Khúc Thừa Dụ, Phường Vĩnh Niệm, Quận Lê Chân, Hải Phòng;;
71;13517562;_;---;Cần bán;7,5m;---;Đất nền, liền kề, đất dự án;Sổ hồng/ Sổ đỏ;---;5m;---;---;18m;---;---; 1,367 tỷ ; 90 m2; Đường Nguyễn Văn Linh, Phường Trương Quang Trọng, Thành phố Quảng Ngãi, Quảng Ngãi;Khu đô thị mới Chợ mới Hàng Rượu(xem chi tiết dự án);
72;13416331;_;;Cần bán;3m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;6,3m;1;---;21m;3;---; 7,2 tỷ ; 170 m2; Đường T15, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh;;
73;13527329;_;---;Cần bán;1,2m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;2,6m;3;---;5,3m;1;---; 1,3 tỷ ; 15 m2; Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội;;
74;13539828;_;;Cần bán;3m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;---;5;---;---;3;---; 3,4 tỷ ; 30 m2; Số 48 ngách 165/85 Phố Chợ Khâm Thiên, Phường Trung Phụng, Quận Đống Đa, Hà Nội;;
75;12644263;Tây Bắc;;Cần bán;25m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;10,2m;2;;50m;3;---; 7,2 tỷ ; 500 m2; Đường Quốc lộ 14, Xã Hòa Xuân, Thành phố Buôn Ma Thuột, Đắk Lắk;;
76;13183459;Đông Nam;---;Cần bán;15m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;5m;3;---;22m;5;---; 18,2 tỷ ; 120 m2; Khu Biệt thự - Liền kề Gamuda Gardens Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội;Khu đô thị mới Gamuda Gardens(xem chi tiết dự án);
77;13528501;_;;Cần bán;3,5m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;17m;3;;20m;5;---; 62 tỷ ; 295 m2; Đường Quảng An, Phường Quảng An, Quận Tây Hồ, Hà Nội;;
78;13526690;_;;Cần bán;10m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;4m;5;;---;5;---; 10,9 tỷ ; 40 m2; Phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội;;
79;13526045;_;---;Cần bán;3,5m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;---;3;---;---;3;---; 2,8 tỷ ; 35 m2; Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;;
80;13525462;_;---;Cần bán;---;---;Căn hộ chung cư;---;---;---;19;---;---;2;---; 1,9 tỷ ; 72 m2; Đường Lê Đức Thọ, Phường Hải Cảng, Thành phố Quy Nhơn, Bình Định;Căn hộ chung cư Phú Tài Residences(xem chi tiết dự án);
81;13382712;Đông Nam;---;Cần bán;7m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;10m;---;---;20m;---;---; 1,4 tỷ ; 200 m2; 36 Đường Trần Văn Chẩm, Xã Tân Thông Hội, Huyện Củ Chi, Hồ Chí Minh;Khu dân cư Chợ Tân Hội(xem chi tiết dự án);
82;13063581;_;---;Cần bán;10m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;4m;---;---;30m;---;---; 3,888 tỷ ; 120 m2; Tỉnh Lộ 278, Xã Nam Sơn, Thành phố Bắc Ninh, Bắc Ninh;;
83;13495575;_;---;Cần bán;2,5m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;3m;5;---;---;6;---; 3,7 tỷ ; 50 m2; Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội;;
84;13483106;Tây Bắc;---;Cần bán;7m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;4,5m;---;---;22m;---;---; 4,36 tỷ ; 99 m2; Đường Cái Tắt, Xã An Đồng, Huyện An Dương, Hải Phòng;;
85;12284763;Đông Bắc;;Cần bán;5m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;5m;3;;10m;3;---; 3,39 tỷ ; 50 m2;  Thôn Cái Tắt,  Xã An Đồng, Huyện An Dương, Hải Phòng;;
86;13117497;_;---;Cần bán;12m;---;Đất thổ cư, đất ở;---;---;5m;---;---;30m;---;---; 7 triệu / m2  ; 150 m2; Đường DL16, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương;;
87;13181235;_;---;Cần bán;8m;---;Đất thổ cư, đất ở;---;---;---;---;---;---;---;---; 8,5 triệu / m2  ; 150 m2; Đường NL2, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương;Khu đô thị mới Ecolakes Mỹ Phước(xem chi tiết dự án);
88;13440755;_;;Cần bán;10m;;Nhà mặt tiền;---;;---;4;---;---;4;---; 7,3 tỷ ; 68 m2; Đường số 109, Phường Phước Long B, Thành phố Thủ Đức, Hồ Chí Minh;;
89;7800599;_;---;Cần bán;---;---;Đất nông, lâm nghiệp;---;---;---;---;---;---;---;---; 3,2 triệu / m2  ; 5.000 m2; Xã Bãi Thơm, Thành phố Phú Quốc, Kiên Giang;;
90;7842784;_;---;Cần bán;---;---;Đất thổ cư, đất ở;---;---;---;---;---;---;---;---; 2,7 triệu / m2  ; 4.100 m2; ấp Đá Chồng, Xã Bãi Thơm, Thành phố Phú Quốc, Kiên Giang;;
91;13566044;_;---;Cần bán;12m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;8m;---;---;12,5m;---;---; 1,9 tỷ ; 100 m2; Đường Quốc Lộ 13, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương;Khu dân cư Vĩnh Phú II(xem chi tiết dự án);
92;13566043;_;;Cần bán;6m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;4m;3;;15m;3;---; 6,8 tỷ ; 60 m2; Đường Nguyễn Xí, Phường 13, Quận Bình Thạnh, Hồ Chí Minh;;
93;13162257;_;;Cần bán;12m;;Nhà mặt tiền;---;;4m;7;;---;10;---; 25,9 tỷ ; 76 m2; Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội;;
94;13566039;_;;Cần bán;20m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;7m;5;;---;4;---; 19,5 tỷ ; 147 m2; Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội;;
95;13565949;_;---;Cần bán;6m;---;Nhà trong hẻm;---;---;---;5;---;---;3;---; 3,5 tỷ ; 31 m2; Đường Phúc Đồng, Phường Phúc Đồng, Quận Long Biên, Hà Nội;;
96;11855737;_;---;Cần bán;12m;---;Đất nền, liền kề, đất dự án;Sổ hồng/ Sổ đỏ;---;5m;---;---;20m;---;---; 25 triệu / m2  ; 100 m2; Hương lộ 2, Xã Long Hưng, Thành phố Biên Hoà, Đồng Nai;Khu đô thị mới Long Hưng City(xem chi tiết dự án);
97;8074947;Đông Nam;---;Cần bán;12m;---;Đất nền, liền kề, đất dự án;Sổ hồng/ Sổ đỏ;---;5m;---;---;25m;---;---; 97 triệu / m2  ; 127 m2; Đường Đỗ Xuân Hợp, Phường Phước Long B, Thành phố Thủ Đức, Hồ Chí Minh;Khu dân cư Hoàng Anh Minh Tuấn(xem chi tiết dự án);
98;9292184;Tây Bắc;---;Cần bán;16m;---;Đất nền, liền kề, đất dự án;Sổ hồng/ Sổ đỏ;---;4,5m;---;---;20m;---;---; 84 triệu / m2  ; 90 m2; Đường Đỗ Xuân Hợp, Phường Phước Long B, Thành phố Thủ Đức, Hồ Chí Minh;Khu dân cư Nam Long(xem chi tiết dự án);
99;13565218;_;---;Cần bán;6m;---;Đất thổ cư, đất ở;---;---;---;---;---;---;---;---; 2,9 tỷ ; 56 m2; Đường Bát Khối, Phường Long Biên, Quận Long Biên, Hà Nội;;
100;13564570;_;;Cần bán;6m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;5m;3;;25m;4;---; 9,3 tỷ ; 125 m2; Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh;;
101;13564485;_;;Cần bán;8m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;7m;2;;40m;3;---; 18 tỷ ; 290 m2; Đường Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Hồ Chí Minh;;
102;13564729;_;;Cần bán;8m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;5,4m;5;;14m;8;---; 8,1 tỷ ; 65 m2; Đường Tân Sơn, Phường 12, Quận Gò Vấp, Hồ Chí Minh;;
103;13477529;_;;Cần bán;3m;;Phòng trọ, nhà trọ;Sổ hồng/ Sổ đỏ;;6m;8;---;15m;18;---; 12,99 tỷ ; 89 m2; Phố Hào Nam, Phường Cát Linh, Quận Đống Đa, Hà Nội;;
104;13558350;Nam;---;Cần bán;8m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;5m;---;---;30m;---;---; 2,4 tỷ ; 150 m2; Đường Y Plo Êban, Phường Tự An, Thành phố Buôn Ma Thuột, Đắk Lắk;;
